,Ticker,Sector,Market Cap
0,ABBEYBDS,Financials,10200000000.0
1,ABBEYBDS,Financials,10200000000.0
2,ABCTRANS,Consumer Services,2390000000.0
3,ACADEMY,Consumer Services,756000000.0
4,ACCESSCORP,Financials,35500000000.0
5,AFRINSURE,Financials,20600000000.0
6,AFRIPRUD,Financials,2000000000.0
7,AFROMEDIA,Consumer Services,4440000000.0
8,AIICO,Financials,36600000000.0
9,AIRTELAFRI,Telecommunications,3760000000.0
10,ALEX,Basic Materials,220000000.0
11,ARBICO,Industrials,149000000.0
12,ARDOVA,Oil & Gas,1300000000.0
13,ASOSAVINGS,Financials,14700000000.0
14,AUSTINLAZ,Industrials,1080000000.0
15,BAPLC,Telecommunications,10000000.0
16,BERGER,Industrials,290000000.0
17,BETAGLAS,Industrials,600000000.0
18,BUACEMENT,Industrials,33900000000.0
19,BUAFOODS,Consumer Goods,18000000000.0
20,CADBURY,Consumer Goods,1880000000.0
21,CAP,Industrials,815000000.0
22,CAPHOTEL,Consumer Services,3160000000.0
23,CAPOIL,Oil & Gas,5860000000.0
24,CAVERTON,Consumer Services,3350000000.0
25,CHAMPION,Consumer Goods,7830000000.0
26,CHAMS,Technology,4700000000.0
27,CHELLARAM,Industrials,723000000.0
28,CHIPLC,Financials,10700000000.0
29,CILEASING,Consumer Services,782000000.0
30,CONOIL,Oil & Gas,694000000.0
31,CORNERST,Financials,18200000000.0
32,COURTVILLE,Consumer Goods,3550000000.0
33,CUSTODIAN,Financials,5880000000.0
34,CUTIX,Industrials,3520000000.0
35,CWG,Technology,2520000000.0
36,DAARCOMM,Consumer Services,12000000000.0
37,DANGCEM,Industrials,17000000000.0
38,DANGSUGAR,Consumer Goods,12100000000.0
39,DEAPCAP,Financials,1500000000.0
40,DUNLOP,Consumer Goods,4770000000.0
41,EKOCORP,Health Care,499000000.0
42,ELLAHLAKES,Consumer Goods,2000000000.0
43,ENAMELWA,Consumer Goods,76000000.0
44,ETERNA,Oil & Gas,1300000000.0
45,ETI,Financials,18300000000.0
46,ETRANZACT,Technology,9200000000.0
47,EUNISELL,Consumer Services,237000000.0
48,FBNH,Financials,35900000000.0
49,FCMB,Financials,19800000000.0
50,FIDELITYBK,Financials,29000000000.0
51,FIDSON,Health Care,2290000000.0
52,FLOURMILL,Consumer Goods,4099999999.9999995
53,FTNCOCOA,Consumer Goods,2200000000.0
54,GEREGU,Utilities,2500000000.0
55,GLAXOSMITH,Health Care,1200000000.0
56,GOLDBREW,Consumer Goods,1020000000.0
57,GOLDINSURE,Financials,4550000000.0
58,GSPECPLC,Oil & Gas,800000000.0
59,GTCO,Financials,29400000000.0
60,GUINEAINS,Financials,6140000000.0
61,GUINNESS,Consumer Goods,2190000000.0
62,HONYFLOUR,Consumer Goods,7930000000.0
